TITLE,BIRTH YEAR,GUTENBERG ID,AUTHOR,CHAR COUNT,WORD COUNT
The Poetical Works of Edmund Spenser Volume 5, [1552], 106/10602.txt,Edmund Spenser,497700,72915
A Defence of Poesie and Poems, [1554], 019/01962.txt,Philip Sidney,179017,7737
The Battaile of Agincourt, [1563], 277/27770.txt,Michael Drayton,202966,29854
Shakespeare's Sonnets, [1564], 010/01041.txt,Shakespeare,95728,17669
Venus and Adonis, [1564], 010/01045.txt,Shakespeare,64921,10009
A Lover's Complaint, [1564], 011/01137.txt,Shakespeare,15053,2559
The Rape of Lucrece, [1564], 015/01505.txt,Shakespeare,86119,14517
The Phoenix and the Turtle, [1564], 015/01525.txt,Shakespeare,2096,352
The Passionate Pilgrim, [1564], 015/01544.txt,Shakespeare,9645,1559
Sonnets on Sundry Notes of Music, [1564], 015/01546.txt,Shakespeare,7372,1348
A selection from the lyrical poems of Robert Herrick, [1591], 012/01211.txt,Robert Herrick,205369,28124
The Hesperides & Noble Numbers: Vol. 1 and 2, [1591], 224/22421.txt,Robert Herrick,824628,129606
Paradise Lost, [1608], 000/00020.txt,Milton,465055,79995
Paradise Regained, [1608], 000/00058.txt,Milton,97623,15853
Democritus Platonissans, [1614], 303/30327.txt,Henry More,123815,15884
The Lucasta Poems, [1618], 007/00703.txt,Richard Lovelace,388622,50871
Poems of Henry Vaughan Silurist Volume II, [1621], 283/28375.txt,Henry Vaughan,447568,48827
Dryden's Works Vol. 13 (of 18), [1631], 473/47383.txt,Dryden,687820,45360
